gid	latitude	longitude	Estado de Conservacao	Tipo de Abrigo	Abrigo com Publicidade?	Operadora	Carreira	Codigo de Rua	Nome da Rua	Freguesia
73	-106568.5	-95165.9	Bom	Fechado dos Lados	Yes	LT	162	10	Avenida dos Bombeiros Voluntários de Algés	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
528	-107089.71	-95214.56	Bom	Fechado dos Lados	Yes	LT	162	102	Largo Dom Manuel I	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
639	-105456.01	-94993.65	Bom	Fechado dos Lados	Yes	LT	162	116	Avenida General Norton de Matos	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
636	-105462.27	-94976.17	Bom	Fechado dos Lados	Yes	LT	162	116	Avenida General Norton de Matos	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
634	-105696.83	-95075.27	Bom	Fechado dos Lados	Yes	LT	162	116	Avenida General Norton de Matos	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
12	-105655.76	-95028.52	Bom	Fechado dos Lados	Yes	LT	162	116	Avenida General Norton de Matos	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
666	-106799.63	-95251.22	Bom	Sem Abrigo	No	LT	162	155	Praça Doutor Manuel Martins	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
658	-106786.85846811837	-95149.7421827531	Bom	Fechado dos Lados	Yes	LT	162	155	Praça Doutor Manuel Martins	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
630	-104458.04	-94329.86	Bom	"Fechado dos Lados
"	No	LT	162	1123	Rua da Quinta do Paizinho	Carnaxide e Queijas
629	-104278.88666597521	-94122.56603635015	Bom	Sem Abrigo	No	LT	162	1123	Rua da Quinta do Paizinho	Carnaxide e Queijas
626	-104287.85	-94105.37	Bom	Fechado dos Lados	Yes	LT	162	1123	Rua da Quinta do Paizinho	Carnaxide e Queijas
616	-104497.842173306	-94358.908881103	Bom	Fechado dos Lados	Yes	LT	162	1123	Rua da Quinta do Paizinho	Carnaxide e Queijas
228	-104460.75	-98562.29	Bom	Sem Abrigo	No	LT	171	83	Rua Angra do Heroísmo	Carnaxide e Queijas
105	-101764.82	-99761.18	Bom	Fechado dos Lados	Yes	LT	171	261	Rua da Juventude	Barcarena
104	-101753.46	-99755.19	Bom	Fechado dos Lados	Yes	LT	171	261	Rua da Juventude	Barcarena
225	-104591.62	-98511.89	Bom	Sem Abrigo	No	LT	171	846	Rua da Quinta do Bonfim	Carnaxide e Queijas
1012	-101927.83891266519	-99709.84354381096	Bom	Sem Abrigo	No	LT	171	1006	Rua António Quadros	Barcarena
115	-101877.84	-99707.56	Bom	Sem Abrigo	No	LT	171	1006	Rua António Quadros	Barcarena
765	-103522.68	-99425.21	Bom	Fechado dos Lados	Yes	LT	171,117	230	Rua Elias Garcia	Barcarena
764	-103545.91	-99424.63	Bom	Sem Abrigo	No	LT	171,117	230	Rua Elias Garcia	Barcarena
110	-104942.33	-101650.59	Bom	Sem Abrigo	No	LT	184	697	Avenida dos Descobrimentos	Porto Salvo
113	-104747.63	-101297.99	Bom	Sem Abrigo	No	LT	184	703	Rua Doutor José Filipe Rodrigues	Porto Salvo
112	-104759.55	-101277.77	Bom	Sem Abrigo	No	LT	184	703	Rua Doutor José Filipe Rodrigues	Porto Salvo
111	-104852.21	-101412.86	Bom	Sem Abrigo	No	LT	184	703	Rua Doutor José Filipe Rodrigues	Porto Salvo
114	-104842.95	-101406.66	Bom	Sem Abrigo	No	LT	184	756	Pateo das Padeiras	Porto Salvo
633	-105696.83	-95075.27	Bom	Fechado dos Lados	Yes	Carris	201,748,750,751	116	Avenida General Norton de Matos	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
15	-105325.87	-95135.44	Bom	Fechado dos Lados	Yes	Carris	201,748,751	113	Alameda FerNo Lopes	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
54	-105456.01	-94993.65	Bom	Fechado dos Lados	Yes	Carris	201,748,750,751	116	Avenida General Norton de Matos	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
645	-105353.27	-95172.19	Bom	Fechado dos Lados	Yes	Carris	201,748,751	113	Alameda FerNo Lopes	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
651	-105300.44	-95336.46	Bom	Fechado dos Lados	Yes	Carris	201,748,751	113	Alameda FerNo Lopes	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
650	-105259.11583333602	-95350.71833333441	Bom	Sem Abrigo	No	Carris	201,748,751	113	Alameda FerNo Lopes	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
13	-105268.05	-95547.68	Bom	Fechado dos Lados	Yes	Carris	201,748,751	124	Avenida José Gomes Ferreira	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
23	-105261.03	-95520.31	Bom	Sem Abrigo	No	Carris	201,748,751	124	Avenida José Gomes Ferreira	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
11	-105158.82133137222	-95894.13861202101	Bom	Fechado dos Lados	Yes	Carris	201,748,751	416	Alameda António Sérgio	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
673	-106563.02096789006	-95186.78384945756	Bom	Sem Abrigo	No	Carris	201,750,751	10	Avenida dos Bombeiros Voluntários de Algés	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
670	-106112.38652897863	-95027.71017120728	Bom	Fechado dos Lados	Yes	Carris	201,750,751	10	Avenida dos Bombeiros Voluntários de Algés	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
677	-106071.42513405527	-95039.14634930693	Bom	Fechado dos Lados	Yes	Carris	201,750,751	10	Avenida dos Bombeiros Voluntários de Algés	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
676	-106283.09180093784	-95136.51301607292	Bom	Sem Abrigo	Yes	Carris	201,750,751	10	Avenida dos Bombeiros Voluntários de Algés	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
667	-106342.5	-95131.58	Bom	Fechado dos Lados	Yes	Carris	201,750,751	10	Avenida dos Bombeiros Voluntários de Algés	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
656	-106786.85846811837	-95149.7421827531	Bom	Fechado dos Lados	Yes	Carris	201,750,751	155	Praça Doutor Manuel Martins	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
69	-106799.79	-95252.14	Bom	Sem Abrigo	No	Carris	201,750,751	155	Praça Doutor Manuel Martins	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
640	-105655.76	-95028.52	Bom	Fechado dos Lados	Yes	Carris	201,751	116	Avenida General Norton de Matos	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
53	-105462.27	-94976.17	Bom	Fechado dos Lados	Yes	Carris	201,751	116	Avenida General Norton de Matos	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
100	-102002.37	-102008.48	Bom	Fechado dos Lados	No	Vimeca	23	1668	Avenida Engenheiro Valente de Oliveira	Porto Salvo
720	-103014.4	-101951.36	Bom	Fechado dos Lados	No	Vimeca	23	1670	Avenida Domingos Vandelli	Porto Salvo
131	-102556.6	-102172.39	Bom	Sem Abrigo	No	Vimeca	23	1671	Rua Professor Dr. José Pinto Peixoto	Porto Salvo
393	-106368.26	-101705.73	Bom	Sem Abrigo	Yes	Vimeca	30	587	Avenida António Bernardo Cabral de Macedo	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
923	-107625.08	-103117.77	Bom	Fechado dos Lados	No	Vimeca	30	1431	Avenida Salvador Allende	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
921	-107096.82640151314	-103853.54646127204	Bom	Sem Abrigo	No	SCoTTURB	467	1404	Rua Norton de Matos	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
523	-107058.08	-103860.82	Bom	Sem Abrigo	No	SCoTTURB	467	1404	Rua Norton de Matos	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
513	-107854.63	-102915.29	Bom	Fechado dos Lados	Yes	SCoTTURB	467,468,470,479,485,489	1422	Rua da Quinta Grande	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
509	-107387.31	-103679.6	Bom	Fechado dos Lados	Yes	SCoTTURB	467,468,479	1426	Avenida da República	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
508	-107491.16	-103120.89	Bom	Fechado dos Lados	Yes	SCoTTURB	467,468,479	1426	Avenida da República	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
507	-107368.48	-103668.54	Bom	Fechado dos Lados	No	SCoTTURB	467,468,479	1426	Avenida da República	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
924	-107625.08	-103117.77	Bom	Fechado dos Lados	No	SCoTTURB	467,468,479,471	1431	Avenida Salvador Allende	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
495	-107142.69	-103759.12	Bom	Fechado dos Lados	Yes	SCoTTURB	467,479	1421	Rotunda da Quinta do Marquês	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
263	-107314.88	-104013.15	Bom	Fechado dos Lados	Yes	SCoTTURB	468,470,485,489	1426	Avenida da República	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
262	-107284.78	-104045.09	Bom	Fechado dos Lados	Yes	SCoTTURB	468,470,485,489	1426	Avenida da República	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
372	-107025.86	-103844.74	Bom	Sem Abrigo	No	SCoTTURB	470,479,485,489	1338	Avenida Gonçalves Zarco	
267	-105726.06	-102732.3	Bom	Fechado dos Lados	Yes	SCoTTURB	470,485	1521	Estrada da Ribeira da Laje	Porto Salvo
927	-107720.8493590646	-103624.00113664303	Bom	Sem Abrigo	No	SCoTTURB	470,485,489	550	Alameda Conde de Oeiras	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
515	-107839.61	-103572.1	Bom	Sem Abrigo	No	SCoTTURB	470,485,489	550	Alameda Conde de Oeiras	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
520	-107795.85	-103878.54	Bom	Fechado dos Lados	Yes	SCoTTURB	470,485,489	557	Avenida Dom José I	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
519	-107802.03	-103891.09	Bom	Sem Abrigo	No	SCoTTURB	470,485,489	557	Avenida Dom José I	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
265	-107430.38	-103996.06	Bom	Fechado dos Lados	Yes	SCoTTURB	470,485,489	557	Avenida Dom José I	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
264	-107670.49	-103999.05	Bom	Fechado dos Lados	Yes	SCoTTURB	470,485,489	557	Avenida Dom José I	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
512	-107836.26	-103714.18	Bom	Fechado dos Lados	Yes	SCoTTURB	470,485,489	569	Rua Doutor José Carlos Moreira	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
511	-107822.87	-103711.43	Bom	Sem Abrigo	No	SCoTTURB	470,485,489	569	Rua Doutor José Carlos Moreira	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
556	-107825.00067489177	-103153.47411185557	Bom	Sem Abrigo	No	SCoTTURB	470,485,489	1422	Rua da Quinta Grande	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
522	-107811.57	-103173.61	Bom	Fechado dos Lados	Yes	SCoTTURB	470,485,489	1422	Rua da Quinta Grande	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
500	-107558.36	-103601.65	Bom	Fechado dos Lados	Yes	SCoTTURB	470,485,489	1516	Rua Monsenhor Ferreira de Melo	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
825	-107055.50456594216	-104067.91249783144	Bom	Sem Abrigo	No	SCoTTURB	470,485,489,467,475,479	1338	Avenida Gonçalves Zarco	
824	-107062.58	-104020.28	Bom	Fechado dos Lados	No	SCoTTURB	470,485,489,467,479	1338	Avenida Gonçalves Zarco	
587	-108937.83	-103208.76	Razoavel	Fechado dos Lados	Yes	SCoTTURB	471	491	Rua de Aljubarrota	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
834	-107559.62	-102708.32	Bom	Fechado dos Lados	Yes	SCoTTURB	471	514	Largo Avião Lusitânia	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
960	-107102.8	-101781.42	Bom	Fechado dos Lados	Yes	SCoTTURB	471	527	Avenida de Brasília	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
933	-107581.42	-102198.59	Bom	Fechado dos Lados	Yes	SCoTTURB	471	533	Rua Cândido dos Reis	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
506	-107655.98	-102504.64	Bom	Fechado dos Lados	Yes	SCoTTURB	471	533	Rua Cândido dos Reis	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
974	-108611	-103212.55	Bom	Fechado dos Lados	Yes	SCoTTURB	471	556	Avenida Dom João I	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
971	-108633.94	-103087.73	Bom	Fechado dos Lados	Yes	SCoTTURB	471	556	Avenida Dom João I	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
918	-107752.93	-102745.45	Bom	Fechado dos Lados	Yes	SCoTTURB	471	559	Rua Desembargador Faria	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
939	-108680.61	-103239.46	Razoavel	Fechado dos Lados	Yes	SCoTTURB	471	561	Rua Dona Filipa de Lencastre	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
502	-107319.63	-102563.55	Bom	Fechado dos Lados	Yes	SCoTTURB	471	578	Avenida Embaixador Augusto de Castro	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
537	-107286.31	-102095.09	Bom	Fechado dos Lados	No	SCoTTURB	471	1325	Rua da Figueirinha	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
574	-108145.87	-103052.15	Bom	Fechado dos Lados	Yes	SCoTTURB	471	1332	Rua da Fundição de Oeiras	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
1026	-108103.16416368041	-103073.41174351703	Bom	Sem Abrigo	No	SCoTTURB	471	1342	Rua Henrique de Paiva Couceiro	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
580	-108654.89	-103440.08	Bom	Fechado dos Lados	Yes	SCoTTURB	471	1344	Avenida Infante Dom Henrique	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
497	-108401.93	-103222.84	Bom	Sem Abrigo	No	SCoTTURB	471	1344	Avenida Infante Dom Henrique	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
914	-108221.94694854727	-102975.10717631762	Bom	Aberto dos Lados	No	SCoTTURB	471	1346	Rua Infanta Dona Isabel	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
575	-108450.51	-102954.49	Bom	Fechado dos Lados	Yes	SCoTTURB	471	1346	Rua Infanta Dona Isabel	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
928	-107653.99	-103018.24	Bom	Fechado dos Lados	Yes	SCoTTURB	471	1372	Rua dos Lagares da Quinta	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
560	-107381	-101739.33	Bom	Fechado dos Lados	Yes	SCoTTURB	471	1398	Avenida de Moçambique	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
559	-107472.33	-101878.29	Bom	Fechado dos Lados	Yes	SCoTTURB	471	1398	Avenida de Moçambique	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
561	-107268.49	-101728.6	Bom	Fechado dos Lados	Yes	SCoTTURB	471	1440	Rua São Salvador da Baía	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
376	-107047.8	-103631.28	Bom	Sem Abrigo	No	SCoTTURB	479	1315	Rua das Escolas	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
375	-107044.63	-103620.23	Bom	Fechado dos Lados	Yes	SCoTTURB	479	1315	Rua das Escolas	Oeiras e São Julião da Barra, Paço de Arcos e Caxias
980	-104256.82	-95173.34	Bom	Fechado dos Lados	Yes	Carris	714	306	Rua dos Cravos de Abril	Carnaxide e Queijas
685	-104174.54200948933	-95114.07850277536	Bom	Sem Abrigo	No	Carris	714	347	Rua da Liberdade	Carnaxide e Queijas
603	-104172.6851196953	-95216.43740152338	Bom	Sem Abrigo	No	Carris	714	347	Rua da Liberdade	Carnaxide e Queijas
623	-104578.88	-94652.12	Bom	Sem Abrigo	No	Carris	714	365	Estrada da Portela	Carnaxide e Queijas
1032	-104222.84172433561	-94001.25535769734	Bom	Fechado dos Lados	Yes	Carris	714	1123	Rua da Quinta do Paizinho	Carnaxide e Queijas
631	-104458.04	-94329.86	Bom	"Fechado dos Lados
"	No	Carris	714	1123	Rua da Quinta do Paizinho	Carnaxide e Queijas
627	-104278.88666597521	-94122.56603635015	Bom	Sem Abrigo	No	Carris	714	1123	Rua da Quinta do Paizinho	Carnaxide e Queijas
615	-104497.842173306	-94358.908881103	Bom	Fechado dos Lados	Yes	Carris	714	1123	Rua da Quinta do Paizinho	Carnaxide e Queijas
619	-104458.52	-94926.22	Bom	Fechado dos Lados	Yes	Carris	714	1134	Largo Sete de Junho de 1759	Carnaxide e Queijas
43	-104445.64	-94921.33	Bom	Fechado dos Lados	No	Carris	714	1134	Largo Sete de Junho de 1759	Carnaxide e Queijas
979	-104677.06	-94473.47	Bom	Fechado dos Lados	No	Carris	714	1160	Rua Cincinato da Costa	Carnaxide e Queijas
978	-104683.1	-94486.15	Bom	Fechado dos Lados	No	Carris	714	1160	Rua Cincinato da Costa	Carnaxide e Queijas
14	-105367.42	-95012.5	Bom	Sem Abrigo	No	Carris	748	113	Alameda FerNo Lopes	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
21	-105136.75	-95897.19	Bom	Fechado dos Lados	Yes	Carris	748,751	416	Alameda António Sérgio	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
456	-107086.94	-95183.62	Bom	Fechado dos Lados	Yes	Carris	750	102	Largo Dom Manuel I	
672	-106566.19596789329	-95165.08801610209	Bom	Sem Abrigo	No	Carris	750,751,201	10	Avenida dos Bombeiros Voluntários de Algés	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
1031	-107014.28376646667	-95156.66564817408	Bom	Sem Abrigo	No	Carris	751, 201	102	Largo Dom Manuel I	
168	-107095.22	-95206.35	Bom	Fechado dos Lados	Yes	Carris	751, 201	102	Largo Dom Manuel I	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
144	-106979.51	-95226.45	Bom	Fechado dos Lados	Yes	Carris	776	103	Rua Damião de Góis	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
794	-106975.22	-95602.61	Bom	Sem Abrigo	No	Carris	776	118	Alameda Hermano Patrone	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
681	-107008.56	-95490.23	Bom	Fechado dos Lados	No	Carris	776	118	Alameda Hermano Patrone	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
187	-106985.92	-95598.8	Bom	Sem Abrigo	No	Carris	776	118	Alameda Hermano Patrone	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
481	-106532.67	-97275.79	Bom	Sem Abrigo	No	Carris	776	367	Estrada da Costa	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
459	-106331.99	-97379.59	Bom	Fechado dos Lados	Yes	Carris	776	367	Estrada da Costa	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
897	-107004.52	-96080.98	Bom	Fechado dos Lados	No	Carris	776	369	Rua Direita do Dafundo	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
895	-106999.08	-96066.1	Bom	Fechado dos Lados	No	Carris	776	369	Rua Direita do Dafundo	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
493	-106898.93	-96325.82	Bom	Fechado dos Lados	No	Carris	776	369	Rua Direita do Dafundo	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
471	-106865.6	-96906.59	Bom	Sem Abrigo	No	Carris	776	386	Rua Sacadura Cabral	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
906	-106791.2	-97137.51	Bom	Fechado dos Lados	Yes	Carris	776	386	Rua Sacadura Cabral	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
484	-106790.95	-97111.1	Bom	Sem Abrigo	No	Carris	776	386	Rua Sacadura Cabral	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
479	-106688.65	-97277.31	Bom	Sem Abrigo	No	Carris	776	386	Rua Sacadura Cabral	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
478	-106680.98	-97288.83	Bom	Fechado dos Lados	Yes	Carris	776	386	Rua Sacadura Cabral	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
477	-106835.46	-96672.9	Bom	Fechado dos Lados	Yes	Carris	776	386	Rua Sacadura Cabral	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
475	-106826.16	-96699.81	Bom	Sem Abrigo	No	Carris	776	386	Rua Sacadura Cabral	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
474	-106880.09	-96852.94	Bom	Sem Abrigo	No	Carris	776	386	Rua Sacadura Cabral	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
463	-106886.32	-96345.37	Bom	Sem Abrigo	No	Carris	776	386	Rua Sacadura Cabral	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
8	-106980.35	-95289.3	Bom	Sem Abrigo	No	Carris	776	103	Rua Damião de Góis	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
5	-106997.31	-95311.49	Bom	Sem Abrigo	No	Carris	776	103	Rua Damião de Góis	Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
167	-107073	-95199.03	Bom	Fechado dos Lados	Yes	Carris	98	102	Largo Dom Manuel I	
