gid,latitude,longitude,Estado de Conservacao,Tipo de Abrigo,Abrigo com Publicidade?,Operadora,Carreira,Codigo de Rua,Nome da Rua,Freguesia
711,-101764.30649856283,-98424.15159847475,Bom,Sem Abrigo,No,LT,102,216,Estrada Consiglieri Pedroso,Barcarena
125,-101787.42,-98423.54,Bom,Fechado dos Lados,Yes,LT,102,216,Estrada Consiglieri Pedroso,Barcarena
127,-101949.9,-98542.91,Bom,Fechado dos Lados,Yes,LT,102,216,Estrada Consiglieri Pedroso,Barcarena
715,-101966.52,-98573.78,Bom,Fechado dos Lados,Yes,LT,102,216,Estrada Consiglieri Pedroso,Barcarena
744,-102136.13485160771,-98663.30880207638,Bom,Fechado dos Lados,No,LT,102,216,Estrada Consiglieri Pedroso,Barcarena
744,-102136.13485160771,-98663.30880207638,Bom,Fechado dos Lados,No,LT,102,216,Estrada Consiglieri Pedroso,Barcarena
152,-102231.41,-98789.31,Bom,Fechado dos Lados,Yes,LT,102,216,Estrada Consiglieri Pedroso,Barcarena
732,-102381.73,-98965.83,Bom,Sem Abrigo,No,LT,102,950,Estrada das Palmeiras,Barcarena
733,-102638.72,-98781.31,Bom,Sem Abrigo,No,LT,102,993,Rua do Trabalho,Barcarena
151,-102676.09,-98810.3,Bom,Sem Abrigo,No,LT,102,950,Estrada das Palmeiras,Barcarena
743,-102708.54,-98296.07,Bom,Sem Abrigo,No,LT,102,1099,Rua Quinta da Bica do Sargento,Barcarena
739,-102735.06,-98272.9,Mau,Fechado dos Lados,No,Carris,102,830,Estrada Militar,Barcarena
158,-102845.12,-97961.08,Bom,Sem Abrigo,No,LT,102,1214,Estrada de Queluz,Carnaxide e Queijas
157,-102859.54,-97965.24,Bom,Fechado dos Lados,Yes,LT,102,1214,Estrada de Queluz,Carnaxide e Queijas
84,-102931.23,-98622.69,Bom,Sem Abrigo,No,LT,102,830,Estrada Militar,Barcarena
83,-102942.61,-98628.76,Bom,Fechado dos Lados,Yes,Carris,102,830,Estrada Militar,Barcarena
690,-103002.83,-98398.75,Bom,Aberto dos Lados,No,LT,102,830,Estrada Militar,Barcarena
738,-103016.79,-98428.89,Bom,Fechado dos Lados,Yes,LT,102,830,Estrada Militar,Barcarena
708,-103166.65231804183,-97987.56576748956,Bom,Sem Abrigo,No,LT,102,1200,Rua Actor Carlos César,Carnaxide e Queijas
1015,-103181.82,-97967.06,Bom,Sem Abrigo,No,LT,102,1214,Estrada de Queluz,Carnaxide e Queijas
1016,-103193.05176985393,-97956.32085163088,Bom,Sem Abrigo,No,LT,102,1214,Estrada de Queluz,Carnaxide e Queijas
169,-103468.05,-97872.21,Bom,Fechado dos Lados,Yes,LT,102,1214,Estrada de Queluz,Carnaxide e Queijas
789,-103478.11,-97851.67,Bom,Sem Abrigo,No,LT,102,1214,Estrada de Queluz,Carnaxide e Queijas
817,-104091.69,-96778.69,Bom,Fechado dos Lados,No,LT,102,362,Largo da Pátria Nova,Carnaxide e Queijas
815,-104101.68,-97408.6,Bom,Fechado dos Lados,Yes,LT,102,1214,Estrada de Queluz,Carnaxide e Queijas
814,-104114.84,-97401.12,Bom,Fechado dos Lados,Yes,LT,102,1214,Estrada de Queluz,Carnaxide e Queijas
813,-104117.95,-97049.09,Bom,Fechado dos Lados,Yes,LT,102,303,Rua Cinco de Outubro,Carnaxide e Queijas
235,-104169.05,-97108.82,Bom,Sem Abrigo,No,LT,102,308,Estrada do Desvio,Carnaxide e Queijas
816,-104200.64,-96833.39,Bom,Fechado dos Lados,Yes,LT,102,1279,Avenida Tomás Ribeiro,Carnaxide e Queijas
