gid,latitude,longitude,Estado de Conservacao,Tipo de Abrigo,Abrigo com Publicidade?,Operadora,Carreira,Codigo de Rua,Nome da Rua,Freguesia
21,-105136.75,-95897.19,Bom,Fechado dos Lados,Yes,Carris,751,416,Alameda António Sérgio,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
11,-105158.82133137222,-95894.13861202101,Bom,Fechado dos Lados,Yes,Carris,751,416,Alameda António Sérgio,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
650,-105259.11583333602,-95350.71833333441,Bom,Sem Abrigo,No,Carris,751,113,Alameda FerNo Lopes,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
23,-105261.03,-95520.31,Bom,Sem Abrigo,No,Carris,751,124,Avenida José Gomes Ferreira,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
13,-105268.05,-95547.68,Bom,Fechado dos Lados,Yes,Carris,751,124,Avenida José Gomes Ferreira,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
651,-105300.44,-95336.46,Bom,Fechado dos Lados,Yes,Carris,751,113,Alameda FerNo Lopes,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
15,-105325.87,-95135.44,Bom,Fechado dos Lados,Yes,Carris,751,113,Alameda FerNo Lopes,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
645,-105353.27,-95172.19,Bom,Fechado dos Lados,Yes,Carris,751,113,Alameda FerNo Lopes,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
54,-105456.01,-94993.65,Bom,Fechado dos Lados,Yes,Carris,751,116,Avenida General Norton de Matos,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
53,-105462.27,-94976.17,Bom,Fechado dos Lados,Yes,Carris,751,116,Avenida General Norton de Matos,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
640,-105655.76,-95028.52,Bom,Fechado dos Lados,Yes,Carris,751,116,Avenida General Norton de Matos,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
633,-105696.83,-95075.27,Bom,Fechado dos Lados,Yes,Carris,751,116,Avenida General Norton de Matos,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
677,-106071.42513405527,-95039.14634930693,Bom,Fechado dos Lados,Yes,Carris,751,10,Avenida dos Bombeiros Voluntários de Algés,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
670,-106112.38652897863,-95027.71017120728,Bom,Fechado dos Lados,Yes,Carris,751,10,Avenida dos Bombeiros Voluntários de Algés,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
676,-106283.09180093784,-95136.51301607292,Bom,Sem Abrigo,Yes,Carris,751,10,Avenida dos Bombeiros Voluntários de Algés,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
667,-106342.5,-95131.58,Bom,Fechado dos Lados,Yes,Carris,751,10,Avenida dos Bombeiros Voluntários de Algés,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
673,-106563.02096789006,-95186.78384945756,Bom,Sem Abrigo,No,Carris,751,10,Avenida dos Bombeiros Voluntários de Algés,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
672,-106566.19596789329,-95165.08801610209,Bom,Sem Abrigo,No,Carris,751,10,Avenida dos Bombeiros Voluntários de Algés,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
656,-106786.85846811837,-95149.7421827531,Bom,Fechado dos Lados,Yes,Carris,751,155,Praça Doutor Manuel Martins,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
69,-106799.79,-95252.14,Bom,Sem Abrigo,No,Carris,751,155,Praça Doutor Manuel Martins,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
1031,-107014.28376646667,-95156.66564817408,Bom,Sem Abrigo,No,Carris,751,102,Largo Dom Manuel I,
168,-107095.22,-95206.35,Bom,Fechado dos Lados,Yes,Carris,751,102,Largo Dom Manuel I,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
