gid,latitude,longitude,Estado de Conservacao,Tipo de Abrigo,Abrigo com Publicidade?,Operadora,Carreira,Codigo de Rua,Nome da Rua,Freguesia
320,-105649.56,-98984.75,Bom,Fechado dos Lados,Yes,LT,115,936,Largo da Quinta do Jardim,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
324,-105658.22,-98790.53,Bom,Fechado dos Lados,Yes,LT,115,1796,Rua das Tílias,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
325,-105660.54,-98769.86,Bom,Fechado dos Lados,No,LT,115,1796,Rua das Tílias,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
317,-105682.17,-99043.27,Bom,Fechado dos Lados,Yes,LT,115,909,Avenida João de Freitas Branco,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
319,-105790.91,-99107.05,Bom,Fechado dos Lados,Yes,LT,115,909,Avenida João de Freitas Branco,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
318,-105817.33,-99103.07,Bom,Fechado dos Lados,Yes,LT,115,909,Avenida João de Freitas Branco,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
327,-105824.71,-98610.29,Bom,Sem Abrigo,No,LT,115,830,Estrada Militar,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
326,-105971.01,-98597.24,Bom,Sem Abrigo,No,LT,115,830,Estrada Militar,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo"
273,-106004.77,-99221.99,Bom,Sem Abrigo,No,LT,115,858,Rua Calvet de Magalhães,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
274,-106013.52,-99221.37,Bom,Fechado dos Lados,No,LT,115,858,Rua Calvet de Magalhães,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
431,-106095.33,-99310.37,Bom,Fechado dos Lados,Yes,LT,115,867,Avenida Conselheiro Ferreira Lobo,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
437,-106124.25,-99314.68,Bom,Sem Abrigo,No,LT,115,867,Avenida Conselheiro Ferreira Lobo,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
411,-106318.44,-100465.14,Bom,Aberto dos Lados,No,LT,115,610,Avenida Conde de São Januário,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
442,-106329.69,-100480.44,Bom,Fechado dos Lados,Yes,LT,115,610,Avenida Conde de São Januário,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
421,-106355.98,-100328.5,Bom,Fechado dos Lados,No,LT,115,592,Rua Augusto Sousa Lobo,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias"
